date,signal_direction,signal,prediction,target_return,pnl,cumulative_pnl,period,abs_return,hit
2017-06-05 12:00:00,1,1.0,1.0,-0.0014512549086563087,-0.0014512549086563087,0.12503906900773054,training,0.0014512549086563087,False
2017-06-06 12:00:00,-1,-1.0,-1.0,0.001966484268125855,-0.001966484268125855,0.12307258473960468,training,0.001966484268125855,False
2017-06-07 12:00:00,1,1.0,1.0,0.0024816019168235498,0.0024816019168235498,0.12555418665642823,training,0.0024816019168235498,True
2017-06-08 12:00:00,1,1.0,1.0,0.0014527431208340455,0.0014527431208340455,0.12700692977726227,training,0.0014527431208340455,True
2017-06-09 12:00:00,-1,-1.0,-1.0,0.007498295841854124,-0.007498295841854124,0.11950863393540814,training,0.007498295841854124,False
2017-06-12 12:00:00,1,1.0,1.0,0.0041145208297617,0.0041145208297617,0.12362315476516984,training,0.0041145208297617,True
2017-06-13 12:00:00,-1,-1.0,-1.0,-0.0004268396790165614,0.0004268396790165614,0.1240499944441864,training,0.0004268396790165614,True
2017-06-14 12:00:00,1,1.0,1.0,-0.003242320819112628,-0.003242320819112628,0.12080767362507377,training,0.003242320819112628,False
2017-06-15 12:00:00,-1,-1.0,-1.0,-0.0007710100231303007,0.0007710100231303007,0.12157868364820408,training,0.0007710100231303007,True
2017-06-16 12:00:00,1,1.0,1.0,0.007276151343947954,0.007276151343947954,0.12885483499215203,training,0.007276151343947954,True
2017-06-19 12:00:00,1,1.0,1.0,-0.0017003910899506887,-0.0017003910899506887,0.12715444390220135,training,0.0017003910899506887,False
2017-06-20 12:00:00,1,1.0,1.0,-0.0036626916524701873,-0.0036626916524701873,0.12349175224973116,training,0.0036626916524701873,False
2017-06-21 12:00:00,-1,-1.0,-1.0,-0.0007681147051292993,0.0007681147051292993,0.12425986695486047,training,0.0007681147051292993,True
2017-06-22 12:00:00,-1,-1.0,-1.0,0.00017057569296375266,-0.00017057569296375266,0.12408929126189672,training,0.00017057569296375266,False
2017-06-23 12:00:00,-1,-1.0,-1.0,-0.0012796451117556731,0.0012796451117556731,0.1253689363736524,training,0.0012796451117556731,True
2017-06-26 12:00:00,1,1.0,1.0,-0.003067746058798466,-0.003067746058798466,0.12230119031485394,training,0.003067746058798466,False
2017-06-27 12:00:00,1,1.0,1.0,0.001024152940172399,0.001024152940172399,0.12332534325502634,training,0.001024152940172399,True
2017-06-28 12:00:00,-1,-1.0,-1.0,0.007764505119453925,-0.007764505119453925,0.11556083813557241,training,0.007764505119453925,False
2017-06-29 12:00:00,-1,-1.0,-1.0,-0.001975775277038055,0.001975775277038055,0.11753661341261047,training,0.001975775277038055,True
2017-06-30 12:00:00,1,1.0,1.0,0.0005999314364072677,0.0005999314364072677,0.11813654484901774,training,0.0005999314364072677,True
2017-07-03 12:00:00,-1,-1.0,-1.0,0.0031594227649218683,-0.0031594227649218683,0.11497712208409587,training,0.0031594227649218683,False
2017-07-04 12:00:00,-1,-1.0,-1.0,-0.0011991434689507495,0.0011991434689507495,0.11617626555304662,training,0.0011991434689507495,True
2017-07-05 12:00:00,1,1.0,1.0,-0.0027394914818936736,-0.0027394914818936736,0.11343677407115295,training,0.0027394914818936736,False
2017-07-06 12:00:00,1,1.0,1.0,0.0013731548232063166,0.0013731548232063166,0.11480992889435926,training,0.0013731548232063166,True
2017-07-07 12:00:00,-1,-1.0,-1.0,-0.002315410342166195,0.002315410342166195,0.11712533923652546,training,0.002315410342166195,True
2017-07-10 12:00:00,1,1.0,1.0,-0.0025676138308798357,-0.0025676138308798357,0.11455772540564563,training,0.0025676138308798357,False
2017-07-11 12:00:00,1,1.0,1.0,0.0071220181911789944,0.0071220181911789944,0.12167974359682462,training,0.0071220181911789944,True
2017-07-12 12:00:00,1,1.0,1.0,0.0020453383330492586,0.0020453383330492586,0.12372508192987389,training,0.0020453383330492586,True
2017-07-13 12:00:00,-1,-1.0,-1.0,-0.002807316035729477,0.002807316035729477,0.12653239796560337,training,0.002807316035729477,True
2017-07-14 12:00:00,1,1.0,1.0,0.0031422505307855627,0.0031422505307855627,0.12967464849638893,training,0.0031422505307855627,True
2017-07-17 12:00:00,-1,-1.0,-1.0,0.0011860386309725517,-0.0011860386309725517,0.12848860986541638,training,0.0011860386309725517,False
2017-07-18 12:00:00,1,1.0,1.0,0.003984739296311997,0.003984739296311997,0.13247334916172837,training,0.003984739296311997,True
2017-07-19 12:00:00,-1,-1.0,-1.0,-0.002364864864864865,0.002364864864864865,0.13483821402659324,training,0.002364864864864865,True
2017-07-20 12:00:00,1,1.0,1.0,-0.0006747069241798094,-0.0006747069241798094,0.13416350710241343,training,0.0006747069241798094,False
2017-07-21 12:00:00,1,1.0,1.0,-0.00025320729237002026,-0.00025320729237002026,0.1339102998100434,training,0.00025320729237002026,False
2017-07-24 12:00:00,1,1.0,1.0,0.003715902373110379,0.003715902373110379,0.13762620218315377,training,0.003715902373110379,True
2017-07-25 12:00:00,1,1.0,1.0,-0.0007571296374190292,-0.0007571296374190292,0.13686907254573474,training,0.0007571296374190292,False
2017-07-26 12:00:00,1,1.0,1.0,-0.0016836434043269635,-0.0016836434043269635,0.13518542914140777,training,0.0016836434043269635,False
2017-07-27 12:00:00,1,1.0,1.0,-0.004288236777936601,-0.004288236777936601,0.13089719236347117,training,0.004288236777936601,False
2017-07-28 12:00:00,-1,-1.0,-1.0,-0.0011821329055138057,0.0011821329055138057,0.13207932526898497,training,0.0011821329055138057,True
2017-07-31 12:00:00,1,1.0,1.0,0.0009278785322648671,0.0009278785322648671,0.13300720380124983,training,0.0009278785322648671,True
2017-08-01 12:00:00,1,1.0,1.0,-0.0020225855385133996,-0.0020225855385133996,0.13098461826273644,training,0.0020225855385133996,False
2017-08-02 12:00:00,1,1.0,1.0,0.0007597501266250211,0.0007597501266250211,0.13174436838936146,training,0.0007597501266250211,True
2017-08-03 12:00:00,1,1.0,1.0,0.0012656091798852514,0.0012656091798852514,0.1330099775692467,training,0.0012656091798852514,True
2017-08-04 12:00:00,1,1.0,1.0,0.0008423890152472412,0.0008423890152472412,0.13385236658449395,training,0.0008423890152472412,True
2017-08-07 12:00:00,-1,-1.0,-1.0,-0.0021891049928433105,0.0021891049928433105,0.13604147157733726,training,0.0021891049928433105,True
2017-08-08 12:00:00,-1,-1.0,-1.0,0.0067930224756793025,-0.0067930224756793025,0.12924844910165795,training,0.0067930224756793025,False
2017-08-09 12:00:00,1,1.0,1.0,-0.007676086039645719,-0.007676086039645719,0.12157236306201223,training,0.007676086039645719,False
2017-08-10 12:00:00,1,1.0,1.0,-0.0024636819301673604,-0.0024636819301673604,0.11910868113184488,training,0.0024636819301673604,False
2017-08-11 12:00:00,1,1.0,1.0,0.007751937984496124,0.007751937984496124,0.126860619116341,training,0.007751937984496124,True
2017-08-14 12:00:00,-1,-1.0,-1.0,0.0004224757076468103,-0.0004224757076468103,0.1264381434086942,training,0.0004224757076468103,False
2017-08-15 12:00:00,1,1.0,1.0,0.0026217861975642762,0.0026217861975642762,0.12905992960625848,training,0.0026217861975642762,True
2017-08-16 12:00:00,-1,-1.0,-1.0,0.009357612544258978,-0.009357612544258978,0.1197023170619995,training,0.009357612544258978,False
2017-08-17 12:00:00,1,1.0,1.0,-0.005263157894736842,-0.005263157894736842,0.11443915916726266,training,0.005263157894736842,False
2017-08-18 12:00:00,-1,-1.0,-1.0,0.0020497053548552396,-0.0020497053548552396,0.11238945381240742,training,0.0020497053548552396,False
2017-08-21 12:00:00,1,1.0,1.0,0.007278643603356739,0.007278643603356739,0.11966809741576416,training,0.007278643603356739,True
2017-08-22 12:00:00,-1,-1.0,-1.0,0.00042520622501913426,-0.00042520622501913426,0.11924289119074502,training,0.00042520622501913426,False
2017-08-23 12:00:00,1,1.0,1.0,-0.0022957231527931297,-0.0022957231527931297,0.1169471680379519,training,0.0022957231527931297,False
2017-08-24 12:00:00,-1,-1.0,-1.0,-0.001960282962584164,0.001960282962584164,0.11890745100053605,training,0.001960282962584164,True
