date,symbol,signal,raw_score,price,contracts,notional_usd,weight_pct,basket,return_pct,weighted_return_pct
2025-09-18,@AD#C,-1,-0.0013522038934752345,0.6621,-18,1191780.0,2.3835599999999997,FX,0.2718622564567322,0.006480000000000085
2025-09-18,@BO#C,-1,-0.0007535518961958587,51.25,-11,338250.0,0.6765,AGS,1.3268292682926823,0.008975999999999996
2025-09-18,@BP#C,1,0.0003137149615213275,1.3551,14,1185712.5,2.371425,FX,-0.48704892627849894,-0.011549999999999894
2025-09-18,@C#C,-1,-0.003159931628033519,424.25,-16,339400.0,0.6788,AGS,-0.0,-0.0
2025-09-18,@CT#C,-1,-0.00949727464467287,66.63,-10,333150.0,0.6663,AGS,0.49527239981989846,0.003299999999999983
2025-09-18,@ES#C,1,0.0012286703567951918,6694.0,9,3012300.0,6.0246,EQUITY,0.23902001792650132,0.0144
2025-09-18,@EU#C,-1,-0.0012027055490761995,1.1838,-8,1183800.0,2.3676,FX,0.22807906741002912,0.005399999999999849
2025-09-18,@FV#C,1,7.518284110119566e-05,109.4609375,36,3940593.75,7.8811875,RATESUS,-0.007137249304118193,-0.0005625000000000001
2025-09-18,@JY#C,1,0.0022049532271921635,0.006815,14,1192625.0,2.38525,FX,0.08804108584005765,0.0020999999999999756
2025-09-18,@KW#C,-1,-0.002597659360617399,511.75,0,0.0,0.0,AGS,1.0258915486077185,0.0
2025-09-18,@NQ#C,1,0.0005415069172158837,24736.5,6,2968380.0,5.93676,EQUITY,0.34362177349261214,0.020399999999999998
2025-09-18,@RTY#C,1,0.0014862623065710068,2468.1,27,3331935.0,6.663869999999999,EQUITY,0.21879178315303638,0.014580000000000244
2025-09-18,@S#C,1,0.0019854293204844,1036.5,6,310950.0,0.6219,AGS,-1.2542209358417753,-0.0078000000000000005
2025-09-18,@SM#C,-1,-0.002102273516356945,284.2,-12,341039.99999999994,0.6820799999999999,AGS,0.14074595355382732,0.0009599999999999453
